name,imageUrl,url,rating,description
"Величайший Повелитель Демонов перерождается как типичное ничтожество / Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",https://anirise.org/uploads/posts/2022-03/1648320819_velichajshij-povelitel-demonov.jpg,https://animebest.org/anime1/4844-shijou-saikyou-no-daimaou-murabito-a-ni-tensei-suru.html,8.1 ,
"У Коми проблемы с общением (2 сезон) / Komi-san wa, Comyushou desu. 2nd Season",https://anirise.org/uploads/posts/2022-03/1648737639_u-komi-problemy-s-obscheniem-2.jpg,https://animebest.org/anime1/4857-komi-san-wa-comyushou-desu-2nd-season.html,9.4 ,
РПГ недвижимость / RPG Fudousan,https://anirise.org/uploads/posts/2022-03/1648738623_rpg.jpg,https://animebest.org/anime1/4864-rpg-fudousan.html,7.2 ,
"Власть книжного червя: Чтобы стать библиотекарем, все средства хороши (3 сезон) / Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3nd Season",https://anirise.org/uploads/posts/2022-04/1649683154_vlast-knizhnogo-chervja.jpg,https://animebest.org/anime1/4875-honzuki-no-gekokujou-shisho-ni-naru-tame-ni-wa-shudan-wo-erandeiraremasen-3nd-season.html,9.4 ,
В сердце куноити Цубаки / Kunoichi Tsubaki no Mune no Uchi,https://anirise.org/uploads/posts/2022-04/1649680945_kunoiti-cubaki.jpg,https://animebest.org/anime1/4872-kunoichi-tsubaki-no-mune-no-uchi.html,6.8 ,
Царство (4 сезон) / Kingdom 4,https://anirise.org/uploads/posts/2022-04/1649681937_carstvo.jpg,https://animebest.org/anime1/4873-kingdom-4.html,9.5 ,
Стать настоящей героиней! Непопулярная героиня и секретное задание / Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,https://anirise.org/uploads/posts/2022-03/1648740080_i-sekretnoe-zadanie.jpg,https://animebest.org/anime1/4867-heroine-tarumono-kiraware-heroine-to-naisho-no-oshigoto.html,8.8 ,
Похороны Короля Роз (1 сезон) / Baraou no Souretsu,https://anirise.org/uploads/posts/2022-01/1641210502_pohorony-korolja-roz.jpg,https://animebest.org/anime1/4824-baraou-no-souretsu.html,7.9 ,
Тусовщик Кунмин / Paripi Koumei,https://anirise.org/uploads/posts/2022-03/1648738405_tusovschik-kunmin.jpg,https://animebest.org/anime1/4863-paripi-koumei.html,9.4 ,
Городская дьяволица (2 сезон) / Machikado Mazoku: 2-choume,https://anirise.org/uploads/posts/2022-03/1648737746_gorodskaja-djavolica-2.jpg,https://animebest.org/anime1/4858-machikado-mazoku-2-choume.html,8.1 ,
Дворянство (1 сезон) / Noblesse,https://anirise.org/uploads/posts/2020-09/1601420083_tip-da.jpg,https://animebest.org/anime1/4593-noblesse.html,9.3 ,
Душа маджонга (1 сезон) / Jantama Pong,https://animebest.org/uploads/posts/2022-04/1650034262_dusha-madzhonga.jpg,https://animebest.org/anime1/4876-jantama-pong.html,7.6 ,
Король шаманов (2021) / Shaman King (2021),https://anirise.org/uploads/posts/2021-03/1616434955_korol.jpg,https://animebest.org/anime1/4683-shaman-king.html,9.0 ,
Клуб Раймана (1 сезон) / Ryman's Club,https://anirise.org/uploads/posts/2021-12/1640896456_klub-rajtama.jpg,https://animebest.org/anime1/4832-rymans-club.html,6.2 ,
24 округ Токио (1 сезон) / Tokyo 24-ku,https://anirise.org/uploads/posts/2021-12/1640280398_24-okrug.jpg,https://animebest.org/anime1/4814-tokyo-24-ku.html,9.0 ,
"Записи о магии: Девочка-волшебница Мадока ""Волшебство Гайдэн"" (3 сезон) / Magia Record: Puella Magi Madoka Magica Side Story Final Season",https://anirise.org/uploads/posts/2022-03/1648222949_zapisi-o-magii-devochka-volshebnica-madoka-volshebstvo-gajdjen-3-sezon.jpg,https://animebest.org/anime1/4841-magia-record-puella-magi-madoka-magica-side-story-final-season.html,7.8 ,
